Approved symbol	NCBI Gene ID	Approved name
A1BG	1	alpha-1-B glycoprotein
A1BG-AS1	503538	A1BG antisense RNA 1
A1CF	29974	APOBEC1 complementation factor
A2M	2	alpha-2-macroglobulin
A2M-AS1	144571	A2M antisense RNA 1
A2ML1	144568	alpha-2-macroglobulin like 1
A2ML1-AS1		A2ML1 antisense RNA 1
A2ML1-AS2		A2ML1 antisense RNA 2
A2MP1	3	alpha-2-macroglobulin pseudogene 1
A3GALT2	127550	alpha 1,3-galactosyltransferase 2
A4GALT	53947	alpha 1,4-galactosyltransferase (P blood group)
A4GNT	51146	alpha-1,4-N-acetylglucosaminyltransferase
AAAS	8086	aladin WD repeat nucleoporin
AACS	65985	acetoacetyl-CoA synthetase
AACSP1	729522	acetoacetyl-CoA synthetase pseudogene 1
AADAC	13	arylacetamide deacetylase
AADACL2	344752	arylacetamide deacetylase like 2
AADACL2-AS1	101928142	AADACL2 antisense RNA 1
AADACL3	126767	arylacetamide deacetylase like 3
AADACL4	343066	arylacetamide deacetylase like 4
AADACP1	201651	arylacetamide deacetylase pseudogene 1
AADAT	51166	aminoadipate aminotransferase
AAGAB	79719	alpha and gamma adaptin binding protein
AAK1	22848	AP2 associated kinase 1
AAMDC	28971	adipogenesis associated Mth938 domain containing
AAMP	14	angio associated migratory cell protein
AANAT	15	aralkylamine N-acetyltransferase
AAR2	25980	AAR2 splicing factor
AARD	441376	alanine and arginine rich domain containing protein
AARS	16	alanyl-tRNA synthetase
AARS2	57505	alanyl-tRNA synthetase 2, mitochondrial
AARSD1	80755	alanyl-tRNA synthetase domain containing 1
AARSP1		alanyl-tRNA synthetase pseudogene 1
AASDH	132949	aminoadipate-semialdehyde dehydrogenase
AASDHPPT	60496	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	10157	aminoadipate-semialdehyde synthase
AATBC	284837	apoptosis associated transcript in bladder cancer
AATF	26574	apoptosis antagonizing transcription factor
AATK	9625	apoptosis associated tyrosine kinase
AAVS1	17	adeno-associated virus integration site 1
ABALON	103021294	apoptotic BCL2L1-antisense long non-coding RNA
ABAT	18	4-aminobutyrate aminotransferase
ABCA1	19	ATP binding cassette subfamily A member 1
ABCA2	20	ATP binding cassette subfamily A member 2
ABCA3	21	ATP binding cassette subfamily A member 3
ABCA4	24	ATP binding cassette subfamily A member 4
ABCA5	23461	ATP binding cassette subfamily A member 5
ABCA6	23460	ATP binding cassette subfamily A member 6
ABCA7	10347	ATP binding cassette subfamily A member 7
ABCA8	10351	ATP binding cassette subfamily A member 8
ABCA9	10350	ATP binding cassette subfamily A member 9
ABCA9-AS1		ABCA9 antisense RNA 1
ABCA10	10349	ATP binding cassette subfamily A member 10
ABCA11P	79963	ATP binding cassette subfamily A member 11, pseudogene
ABCA12	26154	ATP binding cassette subfamily A member 12
ABCA13	154664	ATP binding cassette subfamily A member 13
ABCA17P	650655	ATP binding cassette subfamily A member 17, pseudogene
ABCB1	5243	ATP binding cassette subfamily B member 1
